instruction,input,output
동거 중인데 갑자기 헤어지자는 통보를 받았어요. 사실혼인 경우에도 위자료를 받을 수 있나요?,"가정법률, 후견","위자료를 받을 수 있습니다. 사실혼은 부부간 합의 또는 부부 어느 한 쪽의 일방적인 파기에 의해 해소될 수 있습니다. 이 때 정당한 사유(「민법」 제840조에 준하는 사유) 없이 일방적으로 사실혼을 파기한 배우자 또는 사실혼 파탄의 원인을 제공한 제3자(예를 들어, 배우자의 부모 등)에게 위자료를 청구할 수 있습니다. 위자료에 관한 합의가 이루어지지 않으면 법원에 위자료청구소송을 제기해서 위자료를 받을 수 있습니다. ◇ 「민법」 제840조에서 정한 이혼사유(재판상 이혼사유) 1. 배우자에게 부정한 행위가 있었을 때 2. 배우자가 악의로 다른 일방을 유기한 때 3. 배우자 또는 그 직계존속으로부터 심히 부당한 대우를 받았을 때 4. 자기의 직계존속이 배우자로부터 심히 부당한 대우를 받았을 때 5. 배우자의 생사가 3년 이상 분명하지 않은 때 6. 그 밖에 혼인을 계속하기 어려운 중대한 사유가 있을 때"
이혼이 취소될 수 있나요?,"가정법률, 후견","재판상 이혼은 재판절차를 거쳐 이혼판결이 선고된 것이므로 취소될 수 없지만, 협의이혼은 부부간 자유로운 의사에 따른 합의에 기초하므로 사기 또는 강박(强迫)으로 인해 이혼의 의사표시를 했다면 이혼이 취소될 수 있습니다. 이혼을 취소하려면 관할 가정법원에 이혼취소소송을 제기해야 합니다. 이혼취소판결이 확정되면 그 이혼은 처음부터 없었던 것과 같아지므로 취소판결 전에 다른 일방이 재혼했다면 그 재혼은 중혼(重婚)이 됩니다. ◇ 중혼 ☞ 중혼은 법률상 혼인관계가 둘 이상 존재하는 위법한 상태로서 혼인의 취소사유가 됩니다. 중혼을 이유로 재혼(後婚)이 취소되면 전 배우자와만 법률상의 부부관계가 유지되고, 재혼 배우자와의 법률상 부부관계는 종료됩니다."
이혼해도 자녀를 만날 수 있나요?,"가정법률, 후견","이혼 후 자녀를 직접 양육하지 않는 부모 일방과 자녀는 서로 만나거나 연락할 수 있는 면접교섭권을 가집니다. 면접교섭권의 행사는 자녀의 복리를 우선적으로 고려해서 이루어져야 하므로, 자녀가 만남을 꺼려하는 등 자녀의 복리를 위해 필요한 경우에는 면접교섭이 제한되거나 배제될 수 있습니다. 상대방이 자녀와의 면접교섭을 부당하게 방해한다면 가정법원에 이행명령을 신청해서 그 의무를 이행하도록 촉구할 수 있습니다."
이혼한 후에 자녀의 성과 본을 저의 성과 본으로 바꿀 수 있나요?,"가정법률, 후견","이혼 후 자녀의 성과 본을 자신의 성과 본으로 바꿀 수 있습니다. ◇ 법원 허가 자녀의 복리를 위해 필요한 경우에는 부, 모 또는 자녀가 가정법원에 성(姓)과 본(本)의 변경심판을 청구해서 법원의 허가를 받아 이를 변경할 수 있습니다. ◇ 변경 신고 성과 본의 변경허가판결을 받았다면 판결의 확정일로부터 1개월 이내에 등록기준지 또는 주소지 관할 시청 구청 읍사무소 또는 면사무소에 성과 본의 변경신고를 해야 합니다. ◇ 참고: 친양자 입양 ☞ 자녀의 성과 본을 재혼한 배우자의 성과 본으로 바꾸려면 위의 방법 외에도 재혼 배우자가 자녀를 친양자로 입양하는 방법도 생각해 볼 수 있습니다. 친양자로 입양하면 재혼부부와 그 자녀는 ‘혼인 중의 출생자’로 보아 법률상 친생자 관계를 형성하게 되므로 따로 재판을 거치지 않아도 친양부의 성과 본으로 변경할 수 있습니다."
"중학생 딸아이가 학교 숙제로 유언장을 작성했는데, 이 유언장이 법적으로 효력 있는 것인지 궁금해 합니다.","가정법률, 후견",유언은 의사능력이 있는 17세(유언 적령)에 달한 사람이 할 수 있습니다. 따라서 17세 미만인 사람이나 17세 이상이라도 의사능력이 없는 사람은 유효한 유언을 하지 못합니다(의사능력 유무의 판단시점은 유언할 때입니다). 이는 의사능력이 있어야 자신의 의사에 따라 자유롭게 유언할 수 있기 때문입니다. 따라서 질문자의 자녀가 작성한 유언은 자필증서라는 유언장의 법적 방식을 충족했음에도 불구하고 만 17세라는 유언 적령에 도달하지 못했기 때문에 법적 효력을 갖지 못합니다. ◇ 의사능력 ☞ 자신의 행위나 의미의 결과를 정상적인 인식력과 예기력을 바탕으로 합리적으로 판단할 수 있는 정신적 능력 내지는 지능을 말합니다.
아버지가 빚진 부분에 대해서만 상속포기를 할 수 있나요?,"가정법률, 후견","불가능합니다. 상속재산은 크게 상속인에게 이익이 되는 적극재산과 빚처럼 상속인에게 부담이 되는 채무로 나뉩니다. 상속인이 되면 상속재산은 적극재산과 채무를 가리지 않고 모두 포괄적으로 상속인에게 승계하게 되므로, 상속인이 이들 재산의 일부분에 대해서만 상속포기를 할 수 없습니다. 즉, 상속채무만 포기하는 것은 불가능합니다."
"아버지는 저에게 모든 재산을 물려준다는 내용의 유언장을 작성했습니다.
그러던 중 형이 아버지에게 제가 아버지의 재산을 몰래 팔아치웠다고 거짓말을 해서 아버지는 유산을 형에게 모두 물려준다는 내용의 유언장을 새로 작성했습니다.
정말 형이 모든 재산을 물려받나요?","가정법률, 후견","거짓말을 해서 유언장을 다시 작성하고 자기에게 재산을 모두 유증하기로 하는 유언장을 작성하도록 한 행위는 유증 결격사유에 해당됩니다. 유증 결격사유에 해당되는 사람 즉, 유증결격자는 유증을 받지 못합니다. 질문에서 장남의 행위는 유증결격사유에 해당됩니다. 따라서 장남은 유증결격자로서 유언장에 따른 대로 아버지의 재산을 물려받을 수 없습니다. 다만, 추후 유류분 반환청구를 통해 상속재산의 일부를 받을 수는 있습니다. ◇ 유증결격자 1. 고의로 유언자, 유증의 선순위나 동순위에 있는 사람을 살해하거나 살해하려한 사람 2. 고의로 유언자에게 상해를 가해서 사망에 이르게 한 사람 3. 사기 또는 강박으로 유언자의 유증에 관한 유언 또는 유언의 철회를 방해한 사람 4. 사기 또는 강박으로 유언자의 유증에 관한 유언을 하게 한 사람 5. 피상속인의 유증에 관한 유언서를 위조 변조 파기 또는 은닉한 사람"
동거 중인데 헤어지기로 합의했어요. 둘 사이에 아이가 있는데 헤어진 후 아이의 아빠에게 양육비를 받을 수 있나요?,"가정법률, 후견","사실혼 부부 사이에서 태어난 자녀는 ‘혼인 외의 출생자’로서 아버지와 법적 관계가 없기 때문에 사실혼 관계가 해소되면 아버지에게 자녀의 양육비를 청구할 수 없습니다. 그러나 아버지가 자녀를 친생자(親生子)로 신고(다만, 모가 특정됨에도 불구하고 부가 본문에 따른 신고를 함에 있어 모의 소재불명 또는 모가 정당한 사유 없이 출생신고에 필요한 서류 제출에 협조하지 아니하는 등의 장애가 있는 경우에는 부의 등록기준지 또는 주소지를 관할하는 가정법원의 확인을 받아 신고를 할 수 있음)하거나, 자녀 등이 인지청구소송을 제기해서 인용판결이 확정된 때에는 아버지에게 자녀의 양육 문제에 대한 법적 책임이 발생하므로 아버지에 대해 양육비를 청구할 수 있습니다. ◇ 인지청구소송 ☞ 인지청구소송은 혼인 외의 출생자를 친생자로 인지해줄 것을 청구하는 소송으로 자녀와 그 직계비속 또는 그 법정대리인이 제기할 수 있습니다. ◇ 인지청구소송의 제기기간 ☞ 인지청구소송은 언제든지 제기할 수 있지만, 부(父) 또는 모(母)가 사망한 경우에는 그 사망을 안 날부터 2년이 지나면 소송을 제기할 수 없습니다."
자녀를 데리고 재혼합니다. 이 자녀가 재혼하는 배우자의 자녀로 인정받을 수 있나요?,"가정법률, 후견",전혼(前婚) 자녀를 재혼 배우자의 친양자로 입양하면 재혼 배우자와 전혼 자녀 사이에 친자관계가 발생하므로 재혼 배우자의 자녀로 인정받을 수 있습니다.
자녀를 데리고 재혼했는데 전(前) 배우자가 사망했어요. 이 자녀가 전 배우자의 재산을 상속받을 수 있나요?,"가정법률, 후견",재혼하면서 전혼(前婚) 자녀를 데리고 왔더라도 그 자녀를 입양하지 않거나 일반양자로 입양한 경우에는 전 배우자와 전혼 자녀 사이에 친생(親生) 관계가 그대로 존속되기 때문에 전혼 자녀는 전 배우자의 상속인이 되어 상속받을 수 있습니다. 그러나 재혼 후 전혼 자녀를 재혼 배우자의 친양자로 입양한 경우에는 전 배우자와의 친자관계가 종료되기 때문에 전혼 자녀는 전 배우자의 상속인이 될 수 없습니다.
